Position	Value
-200	110969
-199	111204
-198	111925
-197	110999
-196	111735
-195	112459
-194	111202
-193	111206
-192	113051
-191	112610
-190	113664
-189	114787
-188	114459
-187	115840
-186	116611
-185	115811
-184	116334
-183	116872
-182	115744
-181	115847
-180	117284
-179	116585
-178	116990
-177	118391
-176	118402
-175	117377
-174	117624
-173	117485
-172	117449
-171	117911
-170	117466
-169	116922
-168	117336
-167	117018
-166	117328
-165	119169
-164	117588
-163	117809
-162	117965
-161	116613
-160	117321
-159	117865
-158	116734
-157	117681
-156	118693
-155	119164
-154	119164
-153	120168
-152	119589
-151	119185
-150	119859
-149	118928
-148	119309
-147	119473
-146	118670
-145	120362
-144	120928
-143	121705
-142	121657
-141	122382
-140	121304
-139	121859
-138	122456
-137	121913
-136	122761
-135	124250
-134	123403
-133	123697
-132	125825
-131	124458
-130	124265
-129	125124
-128	124461
-127	124115
-126	125549
-125	124507
-124	124086
-123	125813
-122	125118
-121	125312
-120	126147
-119	124988
-118	125547
-117	125586
-116	125092
-115	124901
-114	126101
-113	125462
-112	126262
-111	127561
-110	127706
-109	127792
-108	128373
-107	127852
-106	127988
-105	128152
-104	127810
-103	128857
-102	131098
-101	131160
-100	131454
-99	133328
-98	131899
-97	130893
-96	131534
-95	130604
-94	130250
-93	131528
-92	131260
-91	131307
-90	133131
-89	132388
-88	135158
-87	134001
-86	133605
-85	133060
-84	133962
-83	133002
-82	134524
-81	135600
-80	135497
-79	136195
-78	136697
-77	137412
-76	138335
-75	138390
-74	137148
-73	137996
-72	138868
-71	138788
-70	140051
-69	141663
-68	142291
-67	144824
-66	146395
-65	145411
-64	145656
-63	147494
-62	145798
-61	146095
-60	147850
-59	147130
-58	148124
-57	148904
-56	148217
-55	148728
-54	147334
-53	146496
-52	145839
-51	145614
-50	145584
-49	145682
-48	147841
-47	148056
-46	149596
-45	151574
-44	152373
-43	152030
-42	153127
-41	151844
-40	150609
-39	152680
-38	150529
-37	151831
-36	154388
-35	155809
-34	157557
-33	159665
-32	158933
-31	157440
-30	158104
-29	155696
-28	155411
-27	156525
-26	154563
-25	154601
-24	158172
-23	157082
-22	159971
-21	163383
-20	164895
-19	168049
-18	172870
-17	176456
-16	180607
-15	185739
-14	190024
-13	196497
-12	207053
-11	214517
-10	220720
-9	230615
-8	237815
-7	249794
-6	259978
-5	271925
-4	289380
-3	314749
-2	327779
-1	366267
0	1.12014e+06
1	366267
2	327779
3	314749
4	289380
5	271925
6	259978
7	249794
8	237815
9	230615
10	220720
11	214517
12	207053
13	196497
14	190024
15	185739
16	180607
17	176456
18	172870
19	168049
20	164895
21	163383
22	159971
23	157082
24	158172
25	154601
26	154563
27	156525
28	155411
29	155696
30	158104
31	157440
32	158933
33	159665
34	157557
35	155809
36	154388
37	151831
38	150529
39	152680
40	150609
41	151844
42	153127
43	152030
44	152373
45	151574
46	149596
47	148056
48	147841
49	145682
50	145584
51	145614
52	145839
53	146496
54	147334
55	148728
56	148217
57	148904
58	148124
59	147130
60	147850
61	146095
62	145798
63	147494
64	145656
65	145411
66	146395
67	144824
68	142291
69	141663
70	140051
71	138788
72	138868
73	137996
74	137148
75	138390
76	138335
77	137412
78	136697
79	136195
80	135497
81	135600
82	134524
83	133002
84	133962
85	133060
86	133605
87	134001
88	135158
89	132388
90	133131
91	131307
92	131260
93	131528
94	130250
95	130604
96	131534
97	130893
98	131899
99	133328
100	131454
101	131160
102	131098
103	128857
104	127810
105	128152
106	127988
107	127852
108	128373
109	127792
110	127706
111	127561
112	126262
113	125462
114	126101
115	124901
116	125092
117	125586
118	125547
119	124988
120	126147
121	125312
122	125118
123	125813
124	124086
125	124507
126	125549
127	124115
128	124461
129	125124
130	124265
131	124458
132	125825
133	123697
134	123403
135	124250
136	122761
137	121913
138	122456
139	121859
140	121304
141	122382
142	121657
143	121705
144	120928
145	120362
146	118670
147	119473
148	119309
149	118928
150	119859
151	119185
152	119589
153	120168
154	119164
155	119164
156	118693
157	117681
158	116734
159	117865
160	117321
161	116613
162	117965
163	117809
164	117588
165	119169
166	117328
167	117018
168	117336
169	116922
170	117466
171	117911
172	117449
173	117485
174	117624
175	117377
176	118402
177	118391
178	116990
179	116585
180	117284
181	115847
182	115744
183	116872
184	116334
185	115811
186	116611
187	115840
188	114459
189	114787
190	113664
191	112610
192	113051
193	111206
194	111202
195	112459
196	111735
197	110999
198	111925
199	111204
200	110969
